"polar-file"
"Iteration" "cd-report etc.."
("Iteration" "cd-report" "cl-report")
1 -1.180151701270452e-07 6.268113390945739e-07
2 0.0009396027522250913 -0.000208986891409132
3 0.03167617284754464 0.0816148798960641
4 0.03906067546606105 0.106771768784647
5 0.04048542276652187 0.1417488247149958
6 0.03252792653924195 0.1687622440108731
7 0.02712869418524279 0.1884913657021516
8 0.02378153283225839 0.2068590074437989
9 0.02225302846392808 0.225444167283305
10 0.02181807061032832 0.2400958048678313
11 0.02175630802487229 0.2522662405073642
12 0.02182186581807618 0.2628872417058789
13 0.02189068109944195 0.2711571732430826
14 0.02184210151901401 0.2769289183556514
15 0.02155543511062314 0.2791661025610882
16 0.02111281803561096 0.2769273743846172
17 0.02055328713422467 0.2702732880444796
18 0.02000432104271341 0.2611895774537908
19 0.01957793598022568 0.2530932542654647
20 0.01942997291926568 0.250787942984363
21 0.01948423215897522 0.2550427154981514
22 0.01964146345084191 0.263791282947925
23 0.01978143064244708 0.2743345873668517
24 0.0198565358160152 0.2845453000716811
25 0.01985475983435696 0.2932687165298011
26 0.01982003578152499 0.3002211832312128
27 0.01977268088412356 0.3056618584324365
28 0.01973253796019444 0.3098039062122873
29 0.01970549039976574 0.313013575442506
30 0.01969558635758658 0.3156011257568213
31 0.01969720060184709 0.3177045459834107
32 0.01970410185910507 0.3194241427278711
33 0.0197096574437437 0.3207924316982505
34 0.01971426512180143 0.3218495203193739
35 0.01971570810368977 0.3226439207326033
36 0.01971501338795571 0.3232205074043435
37 0.0197126337014308 0.3236306747766827
38 0.01971088221175276 0.323949938310376
39 0.01971025380735162 0.3242298569580487
40 0.01971222312630616 0.3245226453982417
41 0.01971671689045171 0.3248736129069511
42 0.01972335469076873 0.3253251839248186
43 0.01972942028294329 0.3260083378453409
44 0.0197473010222941 0.3269850088572704
45 0.01976462117392292 0.3281437249068807
46 0.01978222821166827 0.3294094007910885
47 0.01979850912049749 0.3307206417775555
48 0.01981466420184622 0.3320355541151536
49 0.01982988942032943 0.3333089586550969
50 0.01984426146675805 0.3345263856750259
51 0.01985772410208272 0.3356732906785918
52 0.01987057115069318 0.3367438973892007
53 0.01988301926198762 0.3377407949005799
54 0.01989594257875813 0.3386710789827351
55 0.01991006113432343 0.3395432393774548
56 0.01992440483352103 0.3403686987609917
57 0.01993876256372109 0.341158753893991
58 0.01995297297205582 0.3419211748260406
59 0.0199669629591205 0.3426599379931898
60 0.01998077347029547 0.343376491344023
61 0.01999420878472026 0.344070783005419
62 0.02000728661897459 0.3447403774944155
63 0.02001987475329514 0.345382183688646
64 0.02003202005059453 0.3459928493542494
65 0.02004349292515523 0.3465703742782504
66 0.02005448077612251 0.3471132979499598
67 0.02006486882128819 0.347621169712526
68 0.02007394802116047 0.348119852301203
69 0.02008509810717718 0.3486039753083805
70 0.02009623948621084 0.3490361124448577
71 0.02010421562074946 0.349419763145467
72 0.02011156752399457 0.3497657417064827
73 0.02011817444195672 0.3500965263545394
74 0.02012769503045489 0.3504153390683763
75 0.02013680379919506 0.3507131098351928
76 0.02014549194518469 0.3509898837652474
77 0.02015311290820341 0.3512439235189361
78 0.02016008049590431 0.3514781079365022
79 0.02016617625021726 0.3516932113756877
80 0.02017177287668238 0.3518921616315747
81 0.02017673667380384 0.3520765818704499
82 0.02018134023426798 0.3522488934099648
83 0.02048016753231167 0.3448194203079991
84 0.02055257758932801 0.3429987082406091
85 0.02056028145672273 0.3455421877610901
86 0.02034146878799243 0.3505410451088353
87 0.02006668951554005 0.3573693298096978
88 0.01969820132027039 0.364658087376341
89 0.01934516030954657 0.3720113640659082
90 0.01898446106872537 0.3787200938392098
91 0.01866920454583992 0.3847116632667699
92 0.01838670662885663 0.3897677358454077
