"cl-file-3"
"Iteration" "cl-report"
("Iteration" "cl-report")
1 0.06390067741444783
2 0.1259519448414234
3 0.1756367319456076
4 0.2202755773922643
5 0.2593485692863976
6 0.2928570674980141
7 0.3217718009851461
8 0.3464075783497209
9 0.3671980429910283
10 0.3849693003421482
11 0.3995442001883294
12 0.4111921529543228
13 0.4203054838237702
14 0.4273371453279084
15 0.432729786145663
16 0.4368314421482301
17 0.4399775543279968
18 0.4423643773155388
19 0.4441768268558487
20 0.4454853509880313
21 0.4465065939043188
22 0.4473115319602662
23 0.4479489455695244
24 0.4484591515494588
25 0.4488505364059535
26 0.4491789618683216
27 0.4494683941904331
28 0.4497372424499064
29 0.4499970599988897
30 0.450250485179736
31 0.4505026566284146
32 0.450752080030231
33 0.4509992989722917
34 0.4512478112984221
35 0.451495764625862
36 0.4517421525785071
37 0.4519839950011855
38 0.4522173599798253
39 0.4524411459833616
40 0.4526527303839154
41 0.452849551600322
42 0.4530304670151957
43 0.45319557649771
44 0.4533455391769554
45 0.4534796022519085
46 0.4535975213342777
47 0.4537005024883544
48 0.4537892669395668
49 0.4538655039834292
50 0.453930099097649
51 0.4539844197776591
52 0.4540296119637246
53 0.4540672918743664
54 0.4540983376022139
55 0.4541239968153776
56 0.4541452096409025
57 0.4541632429053803
58 0.4541787983576536
59 0.454192183206192
60 0.4542038947727089
61 0.4542140092657651
62 0.4542228197732178
63 0.4542308340688366
64 0.4542381391055064
65 0.4542450935061468
66 0.4542517807282483
67 0.4542582887779031
68 0.4542644063203656
69 0.454271372459341
70 0.4542771858370903
71 0.4542823405554833
72 0.4542869240422123
73 0.4542909023117331
74 0.4542941363099781
75 0.4542966906915065
76 0.4542984132726373
77 0.4542993829213176
78 0.4542994542080482
79 0.4542988182329986
