profile_id,seed,reynolds,alpha,cl,cd,au0,au1,au2,au3,au4,au5,al0,al1,al2,al3,al4,al5
4,s3021,200000,-2,0.205461,0.011754,0.14854488381575837,0.23381804058204342,0.16306948670087498,0.21832723039670404,0.1538289148912185,0.1248315364462305,-0.1015852861269777,-0.023670617404793832,-0.0757313235894596,0.02617231409895563,-0.08230665618437646,0.029499277276009712
4,s3021,200000,0,0.257419,0.017156,0.14854488381575837,0.23381804058204342,0.16306948670087498,0.21832723039670404,0.1538289148912185,0.1248315364462305,-0.1015852861269777,-0.023670617404793832,-0.0757313235894596,0.02617231409895563,-0.08230665618437646,0.029499277276009712
4,s3021,200000,2,0.309059,0.025384,0.14854488381575837,0.23381804058204342,0.16306948670087498,0.21832723039670404,0.1538289148912185,0.1248315364462305,-0.1015852861269777,-0.023670617404793832,-0.0757313235894596,0.02617231409895563,-0.08230665618437646,0.029499277276009712
4,s3021,200000,4,0.357835,0.036327,0.14854488381575837,0.23381804058204342,0.16306948670087498,0.21832723039670404,0.1538289148912185,0.1248315364462305,-0.1015852861269777,-0.023670617404793832,-0.0757313235894596,0.02617231409895563,-0.08230665618437646,0.029499277276009712
4,s3021,200000,6,0.406825,0.049698,0.14854488381575837,0.23381804058204342,0.16306948670087498,0.21832723039670404,0.1538289148912185,0.1248315364462305,-0.1015852861269777,-0.023670617404793832,-0.0757313235894596,0.02617231409895563,-0.08230665618437646,0.029499277276009712
4,s3021,200000,8,0.455189,0.065464,0.14854488381575837,0.23381804058204342,0.16306948670087498,0.21832723039670404,0.1538289148912185,0.1248315364462305,-0.1015852861269777,-0.023670617404793832,-0.0757313235894596,0.02617231409895563,-0.08230665618437646,0.029499277276009712
6,s3021,200000,-2,0.205461,0.011754,0.15106678943124172,0.2390283481150688,0.16740462118006816,0.21582525538532366,0.15859580313649657,0.12625711163763986,-0.09838921501119138,-0.026884320044536104,-0.08125820372706698,0.03590325366635169,-0.06849064538815908,0.01985870708670056
6,s3021,200000,0,0.257419,0.017156,0.15106678943124172,0.2390283481150688,0.16740462118006816,0.21582525538532366,0.15859580313649657,0.12625711163763986,-0.09838921501119138,-0.026884320044536104,-0.08125820372706698,0.03590325366635169,-0.06849064538815908,0.01985870708670056
6,s3021,200000,2,0.309059,0.025384,0.15106678943124172,0.2390283481150688,0.16740462118006816,0.21582525538532366,0.15859580313649657,0.12625711163763986,-0.09838921501119138,-0.026884320044536104,-0.08125820372706698,0.03590325366635169,-0.06849064538815908,0.01985870708670056
6,s3021,200000,4,0.357835,0.036327,0.15106678943124172,0.2390283481150688,0.16740462118006816,0.21582525538532366,0.15859580313649657,0.12625711163763986,-0.09838921501119138,-0.026884320044536104,-0.08125820372706698,0.03590325366635169,-0.06849064538815908,0.01985870708670056
6,s3021,200000,6,0.406825,0.049698,0.15106678943124172,0.2390283481150688,0.16740462118006816,0.21582525538532366,0.15859580313649657,0.12625711163763986,-0.09838921501119138,-0.026884320044536104,-0.08125820372706698,0.03590325366635169,-0.06849064538815908,0.01985870708670056
6,s3021,200000,8,0.453546,0.065771,0.15106678943124172,0.2390283481150688,0.16740462118006816,0.21582525538532366,0.15859580313649657,0.12625711163763986,-0.09838921501119138,-0.026884320044536104,-0.08125820372706698,0.03590325366635169,-0.06849064538815908,0.01985870708670056
1,s3021,100000,-2,0.132139,0.021247,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,100000,0,0.131317,0.025845,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,100000,2,0.130335,0.030412,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,100000,4,0.129194,0.034943,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,100000,6,0.127896,0.039430,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,100000,8,0.126442,0.043870,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,150000,-2,0.226417,0.012220,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,150000,0,0.225853,0.020115,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,150000,2,0.225013,0.027984,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,150000,4,0.223899,0.035820,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,150000,6,0.222513,0.043612,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,150000,8,0.220855,0.051351,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,200000,-2,0.233813,0.012432,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,200000,0,0.216941,0.019899,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,200000,2,0.216115,0.027458,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,200000,4,0.215025,0.034984,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,200000,6,0.213673,0.042467,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,200000,8,0.212061,0.049898,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,250000,-2,0.233813,0.012432,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,250000,0,0.300193,0.020730,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,250000,2,0.305582,0.027325,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,250000,4,0.304442,0.037973,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,250000,6,0.302932,0.048575,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,250000,8,0.301052,0.059117,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,300000,-2,0.233813,0.012432,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,300000,0,0.300193,0.020730,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,300000,2,0.286940,0.027924,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,300000,4,0.360026,0.039541,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,300000,6,0.358427,0.052082,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,300000,8,0.356391,0.064559,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,350000,-2,0.233813,0.012432,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,350000,0,0.300193,0.020730,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,350000,2,0.286940,0.027924,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,350000,4,0.354508,0.039116,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,350000,6,0.448158,0.052912,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
1,s3021,350000,8,0.446039,0.068521,0.1506426743059781,0.2594093063541494,0.16450231415985245,0.2230824101104271,0.15484832705914825,0.11465606475297849,-0.10087443339538828,-0.024964945093909237,-0.06546127268516383,0.027538822902217538,-0.09104045363818472,0.042994532205535216
2,s3021,100000,-2,0.233813,0.012432,0.1643797499645699,0.2372580504822002,0.1479972449217233,0.210624790880119,0.15929503513466128,0.12571892209185953,-0.08965859120117078,-0.042213355261216036,-0.06513913619578872,0.010481461387897427,-0.08289364901100224,0.02488809193948614
2,s3021,100000,0,0.300193,0.020730,0.1643797499645699,0.2372580504822002,0.1479972449217233,0.210624790880119,0.15929503513466128,0.12571892209185953,-0.08965859120117078,-0.042213355261216036,-0.06513913619578872,0.010481461387897427,-0.08289364901100224,0.02488809193948614
2,s3021,100000,2,0.286940,0.027924,0.1643797499645699,0.2372580504822002,0.1479972449217233,0.210624790880119,0.15929503513466128,0.12571892209185953,-0.08965859120117078,-0.042213355261216036,-0.06513913619578872,0.010481461387897427,-0.08289364901100224,0.02488809193948614
2,s3021,100000,4,0.354508,0.039116,0.1643797499645699,0.2372580504822002,0.1479972449217233,0.210624790880119,0.15929503513466128,0.12571892209185953,-0.08965859120117078,-0.042213355261216036,-0.06513913619578872,0.010481461387897427,-0.08289364901100224,0.02488809193948614
2,s3021,100000,6,0.448158,0.052912,0.1643797499645699,0.2372580504822002,0.1479972449217233,0.210624790880119,0.15929503513466128,0.12571892209185953,-0.08965859120117078,-0.042213355261216036,-0.06513913619578872,0.010481461387897427,-0.08289364901100224,0.02488809193948614
