"cl-file-4"
"Iteration" "cl-report"
("Iteration" "cl-report")
1 0.05552692754625593
2 0.1138683714903451
3 0.1655886370126106
4 0.2150309752943536
5 0.2605345479345975
6 0.3016349092506261
7 0.3374873607401347
8 0.3686999468864744
9 0.3959051963704292
10 0.4185503920348243
11 0.4368984267835226
12 0.4515764923293811
13 0.4631225609021247
14 0.471978951823026
15 0.4787730449429517
16 0.4838665060849374
17 0.487701243570533
18 0.4905722065363676
19 0.4927532930802032
20 0.4944198880066906
21 0.4956962856658059
22 0.4966766834398901
23 0.4974355873755021
24 0.4979975546777587
25 0.4984334350953637
26 0.4987979452202738
27 0.4991252455895367
28 0.4994332203689401
29 0.4997386888903936
30 0.5000461067063294
31 0.5002443838480986
32 0.5004411320120685
33 0.5006462415805045
34 0.5008632445383447
35 0.5010890059664619
36 0.5013194526032726
37 0.5015544560915577
38 0.5017920024010655
39 0.5021458315587587
40 0.5025224733729946
41 0.5028878330681452
42 0.503234824584783
43 0.5035558621960659
44 0.5038516419862351
45 0.504121363637364
46 0.504366853447949
47 0.504589665792689
48 0.5047902140925924
49 0.5049690990314223
50 0.50512947433338
51 0.5052721395955607
52 0.5053990121288178
53 0.5055116397915458
54 0.5056119803489717
55 0.505701508808534
56 0.505781736707592
57 0.5058540835168385
58 0.5059198491734126
59 0.5059799563227149
60 0.506035509835612
61 0.5060870200453255
62 0.5061353926898774
63 0.5061809159360211
64 0.5062239900171637
65 0.5062647189164291
66 0.5063033536521534
67 0.5063398627964926
68 0.5063742116397602
69 0.5064059481753831
70 0.5064351029084843
71 0.5064614629955283
72 0.5064851338960474
73 0.5065059980386568
74 0.5065242621732389
75 0.5065398054565242
76 0.506552760697616
77 0.5065633043364817
78 0.5065715084283363
79 0.5065773206735349
80 0.5065811302487472
81 0.5065830427708985
82 0.5065833087598028
83 0.5065819951772189
84 0.5065796095102847
85 0.5065760849921225
86 0.5065717705782148
87 0.5065666456683342
88 0.5065610102728811
89 0.5065547075366392
