"cl-file-2"
"Iteration" "cl-report"
("Iteration" "cl-report")
1 0.07215437529824063
2 0.1373144411028015
3 0.1883568936053689
4 0.2265694626321011
5 0.2578965782525539
6 0.2837946629801979
7 0.3050438156819353
8 0.322964530808167
9 0.3383482883969692
10 0.3510525914047443
11 0.361292423358161
12 0.3694120793782939
13 0.3757462343852859
14 0.380666784266587
15 0.3844278411774353
16 0.3872807115766793
17 0.3894306377510666
18 0.3910723738037782
19 0.3923678562280778
20 0.3933551732613478
21 0.3941193550324025
22 0.3947314155800442
23 0.3952341340386274
24 0.3956398494031187
25 0.3959752590899746
26 0.3962951593169057
27 0.3965867324227402
28 0.3968783227324836
29 0.3971592501381268
30 0.397447134492166
31 0.3977216859286893
32 0.3980094314644769
33 0.3982715171052784
34 0.3985527004336108
35 0.3988082894271153
36 0.3990688975369432
37 0.3993121393968552
38 0.3995480661904354
39 0.3997656476760551
40 0.3999726248653963
41 0.4001585903571383
42 0.4003313975992809
43 0.4004860828491881
44 0.4006271277258276
45 0.4007517517634769
46 0.4008636338588197
47 0.4009616407577807
48 0.4010480961524783
49 0.4011234014496833
50 0.4011894338434526
51 0.4012520862376109
52 0.401306522687628
53 0.4013487615751397
54 0.4013862528512292
55 0.4014216097456494
56 0.4014510230861803
57 0.4014729183464011
58 0.4014955653215064
59 0.4015138067048274
60 0.4015288136576246
61 0.4015412400728733
62 0.4015510292440873
63 0.4015585952442491
64 0.4015640603212437
65 0.4015676369324885
66 0.4015696052512898
67 0.4015700608281311
68 0.4015693021677828
69 0.4015674867044029
70 0.4015649045551996
71 0.401561752049612
72 0.4015581345371472
73 0.4015542074538559
74 0.4015500148305091
75 0.4015455648351027
76 0.4015409427929615
77 0.4015361545654575
78 0.4015312585822147
79 0.4015262455449873
80 0.4015211551427734
81 0.4015159541565985
