"cd-file-1"
"Iteration" "cd-report"
("Iteration" "cd-report")
1 0.02807875485025478
2 0.03460778028965721
3 0.03059741854712988
4 0.02777820769889659
5 0.0253731295129124
6 0.02359710866405584
7 0.02212177010722307
8 0.02102943255548822
9 0.02013390754236613
10 0.01946990365681087
11 0.01893503936236219
12 0.01853662396637424
13 0.01822232901884344
14 0.01798638548647546
15 0.01780126052043229
16 0.01766012581895211
17 0.01754957511017813
18 0.01746791288929354
19 0.01739842298972384
20 0.01734342567130413
21 0.01729250025911431
22 0.0172513160913143
23 0.01721117167586622
24 0.01717815667889995
25 0.01714377351408027
26 0.01711605565647527
27 0.01708926637309051
28 0.01706764579418385
29 0.01704840364144508
30 0.01703094963875479
31 0.01701450974527765
32 0.01699949524569142
33 0.01698419735736326
34 0.01697045282697794
35 0.01695772363097726
36 0.01694600363624936
37 0.01693486492526327
38 0.01692458685489281
39 0.01691464118043741
40 0.01690534164188088
41 0.01689625431135864
42 0.01688771331911745
43 0.01687933493784984
44 0.01687147738034583
45 0.01686379239738693
46 0.01685663908926736
47 0.01684905488889476
48 0.0168421806646889
49 0.01683618542845408
50 0.016830022875415
51 0.0168241599920122
52 0.01681879376047487
53 0.01681369539110223
54 0.01680904431782764
55 0.01680456565127862
56 0.01680043758620343
57 0.01679636215678457
58 0.01679259308742931
59 0.01678895842964572
60 0.01678538302819545
