Airfoil: AG455ct-02r fp4.6
Builder: M. Drela, et al.
Comment: Clean, Flap = 4.6°

Number of Reynolds #'s:
5

Average Reynolds #:
99825.3
Number of angles of attack:
16
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
  6.25    1.129   0.0199   0.0192   0.0199   0.0207   0.0198   0.0188   0.0218   0.0209   0.0184
  7.14    1.191   0.0248   0.0251   0.0237   0.0266   0.0246   0.0236   0.0266   0.0252   0.0231
  8.16    1.239   0.0316   0.0316   0.0317   0.0342   0.0309   0.0307   0.0328   0.0312   0.0294
Tabulated from data in file 06788gw_interp.dat & reduced using program C10.20

Average Reynolds #:
399827.8
Number of angles of attack:
14
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -6.24   -0.014   0.0137   0.0131   0.0130   0.0133   0.0128   0.0141   0.0132   0.0139   0.0159
 -5.26    0.046   0.0111   0.0111   0.0104   0.0110   0.0102   0.0117   0.0107   0.0113   0.0124
 -4.11    0.160   0.0091   0.0091   0.0087   0.0090   0.0084   0.0098   0.0088   0.0087   0.0103
 -3.20    0.262   0.0083   0.0092   0.0082   0.0083   0.0082   0.0078   0.0076   0.0076   0.0092
 -2.06    0.382   0.0076   0.0077   0.0074   0.0085   0.0077   0.0069   0.0076   0.0068   0.0078
 -0.97    0.494   0.0074   0.0065   0.0076   0.0079   0.0080   0.0070   0.0073   0.0073   0.0074
  0.07    0.589   0.0069   0.0062   0.0072   0.0066   0.0076   0.0064   0.0068   0.0073   0.0069
  1.03    0.685   0.0079   0.0075   0.0081   0.0079   0.0083   0.0076   0.0084   0.0076   0.0074
  2.10    0.780   0.0098   0.0094   0.0097   0.0105   0.0103   0.0095   0.0106   0.0095   0.0090
  3.12    0.880   0.0113   0.0107   0.0109   0.0124   0.0119   0.0109   0.0123   0.0111   0.0102
  3.99    0.957   0.0127   0.0119   0.0121   0.0140   0.0130   0.0122   0.0140   0.0127   0.0113
  5.06    1.047   0.0149   0.0145   0.0143   0.0164   0.0152   0.0142   0.0164   0.0150   0.0134
  6.11    1.135   0.0178   0.0171   0.0176   0.0186   0.0177   0.0169   0.0194   0.0180   0.0167
  7.20    1.211   0.0224   0.0221   0.0210   0.0239   0.0224   0.0210   0.0244   0.0229   0.0212
Tabulated from data in file 06790ga_interp.dat & reduced using program C10.20

Average Reynolds #:
499619.5
Number of angles of attack:
15
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -7.21   -0.111   0.0302   0.0288   0.0284   0.0296   0.0296   0.0283   0.0290   0.0319   0.0362
 -6.09    0.002   0.0118   0.0118   0.0111   0.0113   0.0109   0.0124   0.0112   0.0125   0.0131
 -5.23    0.054   0.0106   0.0108   0.0099   0.0103   0.0097   0.0113   0.0099   0.0109   0.0117
 -4.05    0.176   0.0083   0.0083   0.0076   0.0081   0.0076   0.0090   0.0079   0.0082   0.0093
 -3.18    0.272   0.0076   0.0078   0.0069   0.0074   0.0073   0.0076   0.0075   0.0074   0.0086
 -2.07    0.386   0.0069   0.0069   0.0066   0.0077   0.0062   0.0069   0.0071   0.0063   0.0076
 -0.98    0.495   0.0068   0.0059   0.0066   0.0076   0.0069   0.0069   0.0068   0.0062   0.0072
  0.06    0.594   0.0066   0.0064   0.0066   0.0065   0.0069   0.0063   0.0068   0.0066   0.0065
  1.03    0.679   0.0078   0.0074   0.0080   0.0078   0.0082   0.0076   0.0083   0.0078   0.0077
  2.11    0.787   0.0094   0.0089   0.0093   0.0099   0.0098   0.0090   0.0100   0.0092   0.0088
  3.08    0.879   0.0106   0.0100   0.0103   0.0117   0.0110   0.0102   0.0116   0.0106   0.0098
  4.06    0.962   0.0121   0.0115   0.0118   0.0134   0.0126   0.0116   0.0134   0.0121   0.0108
  5.10    1.057   0.0143   0.0138   0.0135   0.0157   0.0146   0.0137   0.0158   0.0146   0.0128
  6.04    1.130   0.0164   0.0165   0.0157   0.0174   0.0162   0.0160   0.0178   0.0168   0.0150
  7.27    1.219   0.0208   0.0205   0.0198   0.0221   0.0208   0.0199   0.0224   0.0212   0.0198
Tabulated from data in file 06792ga_interp.dat & reduced using program C10.20

File ag455ct_fp5_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:54
