Airfoil: W1011-20 f0
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 0°

Number of Reynolds #'s:
3

Average Reynolds #:
100114.9
Number of angles of attack:
19
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.22   -0.764   0.0249   0.0258   0.0260   0.0247   0.0229   0.0240   0.0243   0.0267   0.0245
 -7.29   -0.698   0.0216   0.0229   0.0233   0.0214   0.0202   0.0208   0.0225   0.0220   0.0197
 -6.15   -0.601   0.0185   0.0189   0.0193   0.0198   0.0174   0.0174   0.0196   0.0182   0.0173
 -5.31   -0.524   0.0160   0.0166   0.0162   0.0161   0.0152   0.0158   0.0174   0.0155   0.0153
 -4.23   -0.430   0.0148   0.0156   0.0155   0.0149   0.0140   0.0145   0.0158   0.0140   0.0139
 -3.08   -0.336   0.0137   0.0137   0.0139   0.0156   0.0134   0.0133   0.0143   0.0129   0.0128
 -2.23   -0.266   0.0132   0.0138   0.0136   0.0149   0.0120   0.0117   0.0144   0.0127   0.0124
 -1.09   -0.157   0.0123   0.0118   0.0129   0.0138   0.0130   0.0090   0.0136   0.0146   0.0101
 -0.01    0.009   0.0127   0.0113   0.0105   0.0139   0.0121   0.0121   0.0096   0.0167   0.0153
  1.01    0.157   0.0126   0.0152   0.0107   0.0127   0.0135   0.0118   0.0107   0.0135   0.0123
  1.93    0.242   0.0129   0.0133   0.0139   0.0108   0.0151   0.0138   0.0102   0.0132   0.0130
  3.02    0.341   0.0155   0.0151   0.0161   0.0153   0.0167   0.0144   0.0140   0.0168   0.0153
  4.05    0.431   0.0173   0.0164   0.0194   0.0167   0.0171   0.0174   0.0161   0.0192   0.0161
  5.15    0.535   0.0199   0.0186   0.0230   0.0193   0.0189   0.0206   0.0192   0.0215   0.0182
  6.16    0.621   0.0230   0.0215   0.0248   0.0241   0.0222   0.0234   0.0231   0.0243   0.0204
  7.15    0.706   0.0278   0.0266   0.0278   0.0296   0.0292   0.0274   0.0285   0.0277   0.0259
  8.04    0.769   0.0313   0.0289   0.0311   0.0328   0.0325   0.0311   0.0325   0.0313   0.0300
  9.20    0.839   0.0373   0.0350   0.0355   0.0391   0.0377   0.0382   0.0388   0.0375   0.0366
 10.14    0.735   0.1607   0.1588   0.1580   0.1658   0.1666   0.1625   0.1658   0.1566   0.1515
Tabulated from data in file 07069gw_interp.dat & reduced using program C10.20

Average Reynolds #:
199995.0
Number of angles of attack:
20
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
