Airfoil: W1011-30 fp60
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 60°

Number of Reynolds #'s:
1

Average Reynolds #:
201397.0
Number of angles of attack:
7
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.15    0.848   0.2247   0.2269   0.2244   0.2250   0.2211   0.2229   0.2243   0.2254   0.2276
 -5.99    1.010   0.2274   0.2289   0.2246   0.2268   0.2264   0.2293   0.2293   0.2263   0.2273
 -3.99    1.188   0.2257   0.2370   0.2305   0.2296   0.2198   0.2178   0.2204   0.2227   0.2278
 -1.95    1.328   0.2313   0.2373   0.2302   0.2350   0.2269   0.2274   0.2296   0.2300   0.2341
  0.06    1.456   0.2335   0.2367   0.2317   0.2365   0.2298   0.2304   0.2333   0.2327   0.2373
  2.18    1.590   0.2344   0.2319   0.2296   0.2354   0.2336   0.2351   0.2349   0.2369   0.2377
  4.06    1.714   0.2377   0.2401   0.2387   0.2381   0.2337   0.2339   0.2354   0.2400   0.2419
Tabulated from data in file 07253gw_interp.dat & reduced using program C10.20

File w1011-30_fp60_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
