Airfoil: AG455ct-02r fp9.6
Builder: M. Drela, et al.
Comment: Clean, Flap = 9.6°

Number of Reynolds #'s:
5

Average Reynolds #:
100000.3
Number of angles of attack:
16
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.21    0.066   0.0330   0.0335   0.0322   0.0334   0.0321   0.0311   0.0325   0.0336   0.0359
 -7.21    0.169   0.0234   0.0243   0.0236   0.0251   0.0234   0.0219   0.0227   0.0230   0.0233
 -6.13    0.270   0.0198   0.0204   0.0205   0.0205   0.0210   0.0179   0.0197   0.0192   0.0192
 -5.14    0.346   0.0190   0.0192   0.0199   0.0208   0.0201   0.0175   0.0180   0.0197   0.0172
 -3.94    0.424   0.0210   0.0219   0.0202   0.0223   0.0228   0.0191   0.0208   0.0203   0.0203
 -2.94    0.486   0.0214   0.0224   0.0207   0.0215   0.0213   0.0198   0.0218   0.0216   0.0221
 -2.02    0.559   0.0211   0.0226   0.0205   0.0215   0.0207   0.0204   0.0209   0.0213   0.0211
 -0.95    0.646   0.0235   0.0246   0.0232   0.0236   0.0234   0.0226   0.0238   0.0235   0.0230
  0.07    0.756   0.0257   0.0270   0.0257   0.0261   0.0253   0.0245   0.0258   0.0261   0.0253
  1.09    0.903   0.0229   0.0230   0.0226   0.0230   0.0216   0.0220   0.0246   0.0240   0.0227
  2.10    0.985   0.0174   0.0173   0.0172   0.0179   0.0172   0.0165   0.0179   0.0177   0.0172
  3.02    1.058   0.0211   0.0219   0.0205   0.0227   0.0204   0.0210   0.0237   0.0206   0.0179
  4.15    1.125   0.0264   0.0271   0.0249   0.0270   0.0253   0.0241   0.0290   0.0291   0.0250
  5.06    1.165   0.0317   0.0314   0.0325   0.0326   0.0308   0.0315   0.0336   0.0310   0.0302
  6.16    1.210   0.0407   0.0421   0.0405   0.0441   0.0407   0.0397   0.0417   0.0406   0.0364
  7.06    1.239   0.0511   0.0536   0.0535   0.0538   0.0512   0.0485   0.0515   0.0488   0.0478
Tabulated from data in file 06778ga_interp.dat & reduced using program C10.20

Average Reynolds #:
200019.1
Number of angles of attack:
15
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.16    0.072   0.0284   0.0286   0.0269   0.0287   0.0279   0.0262   0.0273   0.0294   0.0320
 -7.24    0.141   0.0197   0.0208   0.0190   0.0198   0.0198   0.0191   0.0189   0.0194   0.0211
 -6.09    0.259   0.0150   0.0162   0.0140   0.0147   0.0153   0.0140   0.0145   0.0153   0.0157
 -5.19    0.359   0.0133   0.0138   0.0126   0.0134   0.0136   0.0126   0.0128   0.0129   0.0143
 -4.05    0.476   0.0134   0.0140   0.0134   0.0137   0.0144   0.0124   0.0124   0.0137   0.0137
 -3.10    0.582   0.0144   0.0151   0.0139   0.0146   0.0149   0.0135   0.0137   0.0147   0.0145
 -2.05    0.692   0.0156   0.0156   0.0151   0.0160   0.0161   0.0147   0.0152   0.0162   0.0158
 -1.04    0.791   0.0170   0.0163   0.0166   0.0174   0.0172   0.0167   0.0171   0.0179   0.0167
  0.00    0.897   0.0146   0.0138   0.0146   0.0146   0.0151   0.0137   0.0150   0.0159   0.0142
  1.07    0.982   0.0117   0.0111   0.0116   0.0125   0.0119   0.0111   0.0128   0.0119   0.0104
  1.98    1.042   0.0149   0.0143   0.0143   0.0163   0.0153   0.0145   0.0163   0.0147   0.0134
  3.00    1.119   0.0177   0.0175   0.0172   0.0190   0.0174   0.0171   0.0193   0.0180   0.0163
  4.06    1.196   0.0218   0.0214   0.0208   0.0218   0.0216   0.0218   0.0228   0.0222   0.0216
  5.09    1.256   0.0269   0.0263   0.0260   0.0268   0.0252   0.0271   0.0290   0.0280   0.0266
  6.10    1.297   0.0334   0.0333   0.0323   0.0354   0.0322   0.0330   0.0347   0.0337   0.0327
Tabulated from data in file 06779ga_interp.dat & reduced using program C10.20

Average Reynolds #:
300015.3
Number of angles of attack:
15
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -7.86    0.064   0.0246   0.0245   0.0227   0.0237   0.0239   0.0231   0.0237   0.0260   0.0295
 -7.17    0.142   0.0167   0.0174   0.0154   0.0164   0.0164   0.0166   0.0159   0.0169   0.0188
 -6.19    0.249   0.0125   0.0137   0.0111   0.0119   0.0133   0.0126   0.0119   0.0123   0.0135
 -5.04    0.387   0.0105   0.0113   0.0095   0.0103   0.0110   0.0104   0.0100   0.0100   0.0114
 -4.14    0.483   0.0102   0.0106   0.0098   0.0099   0.0107   0.0097   0.0097   0.0100   0.0110
 -3.13    0.587   0.0108   0.0108   0.0104   0.0110   0.0118   0.0102   0.0102   0.0110   0.0113
 -2.01    0.705   0.0112   0.0110   0.0109   0.0116   0.0120   0.0104   0.0105   0.0112   0.0116
 -1.04    0.804   0.0116   0.0112   0.0117   0.0117   0.0127   0.0103   0.0119   0.0119   0.0111
  0.05    0.905   0.0103   0.0097   0.0105   0.0108   0.0113   0.0095   0.0104   0.0105   0.0095
  1.04    0.981   0.0115   0.0107   0.0112   0.0126   0.0120   0.0111   0.0127   0.0115   0.0100
  1.97    1.063   0.0137   0.0132   0.0131   0.0148   0.0139   0.0132   0.0149   0.0139   0.0123
  3.11    1.149   0.0165   0.0165   0.0160   0.0172   0.0165   0.0156   0.0180   0.0168   0.0150
  4.06    1.214   0.0195   0.0194   0.0186   0.0202   0.0189   0.0188   0.0213   0.0201   0.0183
  5.09    1.276   0.0235   0.0235   0.0227   0.0241   0.0227   0.0228   0.0247   0.0242   0.0231
  6.05    1.319   0.0296   0.0297   0.0291   0.0321   0.0287   0.0288   0.0305   0.0295   0.0282
Tabulated from data in file 06780gw_interp.dat & reduced using program C10.20

Average Reynolds #:
400036.6
Number of angles of attack:
15
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.66    0.012   0.0355   0.0351   0.0338   0.0353   0.0345   0.0328   0.0339   0.0373   0.0411
 -7.19    0.146   0.0143   0.0150   0.0129   0.0138   0.0139   0.0146   0.0137   0.0146   0.0157
