Airfoil: W1015-30 fp30
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 30°

Number of Reynolds #'s:
2

Average Reynolds #:
100332.1
Number of angles of attack:
16
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.19    0.132   0.0820   0.0814   0.0784   0.0846   0.0828   0.0833   0.0815   0.0803   0.0836
 -7.15    0.192   0.0816   0.0793   0.0791   0.0847   0.0817   0.0813   0.0825   0.0824   0.0819
 -6.16    0.251   0.0823   0.0773   0.0805   0.0892   0.0901   0.0868   0.0829   0.0777   0.0737
 -5.12    0.386   0.0873   0.0730   0.0821   0.0964   0.1017   0.0980   0.0913   0.0814   0.0743
 -4.11    0.532   0.0896   0.0784   0.0836   0.0972   0.1000   0.0966   0.0932   0.0852   0.0828
 -3.08    0.647   0.0929   0.0848   0.0874   0.0981   0.1003   0.0981   0.0935   0.0897   0.0916
 -1.95    0.772   0.0975   0.0981   0.0975   0.1067   0.1071   0.0988   0.0910   0.0895   0.0909
 -1.01    0.868   0.0857   0.1038   0.0929   0.0920   0.0820   0.0755   0.0767   0.0772   0.0852
 -0.09    0.933   0.0799   0.0832   0.0790   0.0812   0.0807   0.0781   0.0786   0.0780   0.0806
  1.04    1.036   0.0895   0.0840   0.0891   0.0968   0.0927   0.0892   0.0904   0.0884   0.0857
  2.13    1.130   0.0909   0.0867   0.0917   0.0976   0.0958   0.0911   0.0911   0.0894   0.0842
  3.02    1.215   0.0927   0.0913   0.0943   0.0982   0.0981   0.0906   0.0919   0.0886   0.0883
  4.00    1.296   0.0948   0.0947   0.0966   0.1026   0.0967   0.0917   0.0938   0.0920   0.0905
  5.08    1.379   0.0976   0.0973   0.0990   0.1039   0.0991   0.0944   0.0979   0.0965   0.0925
  6.22    1.470   0.1014   0.1031   0.1034   0.1076   0.1016   0.0975   0.1016   0.0984   0.0984
  7.24    1.558   0.1065   0.1027   0.1075   0.1126   0.1085   0.1021   0.1045   0.1071   0.1074
Tabulated from data in file 06942gw_interp.dat & reduced using program C10.20

Average Reynolds #:
200105.5
Number of angles of attack:
18
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.12    0.281   0.0824   0.0811   0.0816   0.0891   0.0879   0.0832   0.0808   0.0783   0.0773
 -7.24    0.363   0.0841   0.0832   0.0835   0.0906   0.0889   0.0853   0.0831   0.0790   0.0789
 -6.14    0.471   0.0856   0.0852   0.0837   0.0919   0.0910   0.0869   0.0851   0.0802   0.0805
 -5.12    0.559   0.0865   0.0843   0.0820   0.0910   0.0918   0.0894   0.0875   0.0829   0.0833
 -4.15    0.646   0.0881   0.0894   0.0890   0.0955   0.0931   0.0879   0.0842   0.0821   0.0834
 -3.04    0.743   0.0914   0.0897   0.0891   0.0951   0.0962   0.0938   0.0903   0.0888   0.0878
 -2.07    0.816   0.0918   0.0914   0.0893   0.0974   0.0972   0.0933   0.0898   0.0877   0.0882
 -0.94    0.889   0.0835   0.0845   0.0816   0.0865   0.0849   0.0837   0.0857   0.0822   0.0791
  0.03    0.957   0.0901   0.0728   0.0799   0.0881   0.0946   0.0985   0.1006   0.0976   0.0891
  1.09    1.034   0.0956   0.0852   0.0909   0.1029   0.1038   0.1024   0.1001   0.0934   0.0859
  2.12    1.122   0.0972   0.0900   0.0939   0.1042   0.1072   0.1033   0.1002   0.0929   0.0862
  3.00    1.197   0.0986   0.0904   0.0941   0.1032   0.1065   0.1048   0.1011   0.0964   0.0921
  4.08    1.281   0.1001   0.0907   0.0938   0.1041   0.1078   0.1057   0.1043   0.0986   0.0953
  5.02    1.353   0.1025   0.0901   0.0923   0.1051   0.1107   0.1124   0.1086   0.1026   0.0982
  6.10    1.421   0.1034   0.0944   0.0975   0.1100   0.1148   0.1099   0.1058   0.0990   0.0957
  7.27    1.516   0.1051   0.0924   0.0963   0.1071   0.1159   0.1158   0.1108   0.1036   0.0990
  8.09    1.581   0.1067   0.0936   0.0979   0.1102   0.1184   0.1178   0.1116   0.1031   0.1010
  9.22    1.657   0.1067   0.1038   0.1026   0.1116   0.1148   0.1108   0.1056   0.1012   0.1032
Tabulated from data in file 06944sn_interp.dat & reduced using program C10.20

File w1015-30_fp30_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
