Airfoil: W1015-30 fp60
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 60°

Number of Reynolds #'s:
1

Average Reynolds #:
201379.8
Number of angles of attack:
9
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.15    0.757   0.2234   0.2334   0.2277   0.2294   0.2222   0.2185   0.2166   0.2185   0.2207
 -6.07    0.948   0.2267   0.2308   0.2274   0.2271   0.2249   0.2260   0.2274   0.2251   0.2247
 -4.01    1.104   0.2311   0.2342   0.2313   0.2337   0.2307   0.2308   0.2319   0.2289   0.2272
 -2.03    1.284   0.2369   0.2409   0.2368   0.2365   0.2366   0.2357   0.2373   0.2340   0.2373
 -0.06    1.424   0.2383   0.2374   0.2372   0.2384   0.2332   0.2370   0.2417   0.2408   0.2403
  2.01    1.558   0.2395   0.2424   0.2373   0.2386   0.2402   0.2383   0.2385   0.2397   0.2410
  4.09    1.681   0.2386   0.2388   0.2342   0.2404   0.2385   0.2341   0.2386   0.2418   0.2421
  6.13    1.808   0.2411   0.2412   0.2411   0.2440   0.2401   0.2416   0.2407   0.2353   0.2448
  8.19    1.930   0.2451   0.2435   0.2467   0.2500   0.2418   0.2437   0.2447   0.2446   0.2456
Tabulated from data in file 07256gw_interp.dat & reduced using program C10.20

File w1015-30_fp60_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
