Airfoil: W1011-30 fp50
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 50°

Number of Reynolds #'s:
1

Average Reynolds #:
200588.5
Number of angles of attack:
7
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.12    0.750   0.1617   0.1870   0.1690   0.1628   0.1507   0.1487   0.1520   0.1568   0.1664
 -6.17    0.906   0.1764   0.1868   0.1801   0.1834   0.1745   0.1698   0.1717   0.1711   0.1740
 -4.00    1.080   0.1786   0.1886   0.1809   0.1868   0.1747   0.1733   0.1743   0.1732   0.1769
 -1.97    1.226   0.1858   0.1888   0.1836   0.1900   0.1853   0.1827   0.1860   0.1847   0.1852
 -0.04    1.376   0.1882   0.1901   0.1868   0.1927   0.1871   0.1858   0.1866   0.1869   0.1895
  2.00    1.516   0.1930   0.1938   0.1890   0.1937   0.1923   0.1910   0.1950   0.1923   0.1966
  4.19    1.649   0.1971   0.1950   0.1909   0.1972   0.1929   0.1929   0.1992   0.2018   0.2072
Tabulated from data in file 07252gw_interp.dat & reduced using program C10.20

File w1011-30_fp50_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
