Airfoil: W1011-30 fp35
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 35°

Number of Reynolds #'s:
3

Average Reynolds #:
99916.4
Number of angles of attack:
41
 alpha  /   Cl   /  Cm
-10.37    0.25  -0.2000
 -9.21    0.23  -0.1646
 -8.18    0.33  -0.1663
 -7.24    0.42  -0.1691
 -6.09    0.55  -0.1775
 -5.24    0.64  -0.1822
 -4.12    0.74  -0.1821
 -3.20    0.84  -0.1873
 -2.15    0.93  -0.1906
 -1.05    1.02  -0.1916
 -0.11    1.07  -0.1840
  0.92    1.15  -0.1814
  2.11    1.24  -0.1761
  3.11    1.29  -0.1690
  4.19    1.37  -0.1647
  5.13    1.41  -0.1559
  6.10    1.46  -0.1668
  7.03    1.24  -0.2525
  8.00    1.25  -0.2620
  8.99    1.24  -0.2701
  9.88    1.22  -0.2738
  9.63    1.24  -0.2596
  8.63    1.26  -0.2538
  7.63    1.23  -0.2396
  6.62    1.27  -0.2241
  5.85    1.47  -0.1442
  4.81    1.44  -0.1506
  3.92    1.38  -0.1529
  2.86    1.31  -0.1555
  1.76    1.20  -0.1546
  0.74    1.14  -0.1595
 -0.15    1.07  -0.1611
 -1.18    1.01  -0.1680
 -2.35    0.92  -0.1699
 -3.37    0.82  -0.1650
 -4.25    0.74  -0.1641
 -5.36    0.64  -0.1592
 -6.47    0.51  -0.1491
 -7.34    0.42  -0.1445
 -8.28    0.35  -0.1511
 -9.38    0.26  -0.1510
Tabulated from data in file 07167sn.dat & reduced using program C10.20

Average Reynolds #:
199975.6
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
-10.18    0.31  -0.2149
 -9.30    0.40  -0.2170
 -8.16    0.49  -0.2145
 -7.09    0.59  -0.2131
 -6.24    0.66  -0.2113
 -5.08    0.75  -0.2053
 -4.06    0.83  -0.2013
 -3.20    0.90  -0.1980
 -2.07    0.92  -0.1811
 -1.10    1.05  -0.1866
  0.04    1.12  -0.1811
  0.94    1.20  -0.1808
  2.03    1.28  -0.1761
  3.14    1.36  -0.1751
  4.17    1.44  -0.1712
  5.09    1.49  -0.1687
  6.01    1.53  -0.1621
  6.79    1.46  -0.2399
  7.93    1.29  -0.2615
  7.71    1.30  -0.2519
  7.05    1.58  -0.1516
  5.79    1.53  -0.1577
  4.65    1.47  -0.1644
  3.71    1.41  -0.1668
  2.67    1.33  -0.1698
  1.70    1.26  -0.1715
  0.85    1.19  -0.1728
 -0.35    1.11  -0.1782
 -1.31    1.02  -0.1782
 -2.14    0.93  -0.1783
 -3.34    0.88  -0.1915
 -4.45    0.80  -0.1958
 -5.40    0.73  -0.2009
 -6.35    0.64  -0.2035
 -7.46    0.55  -0.2070
 -8.34    0.47  -0.2091
 -9.40    0.39  -0.2120
Tabulated from data in file 07168sn.dat & reduced using program C10.20

Average Reynolds #:
400013.9
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
-10.22    0.33  -0.2189
 -9.37    0.40  -0.2183
 -8.32    0.47  -0.2156
 -7.14    0.57  -0.2142
 -6.27    0.63  -0.2090
 -5.09    0.74  -0.2085
 -4.12    0.82  -0.2067
 -3.02    0.90  -0.1999
 -2.07    0.96  -0.1933
 -1.06    1.05  -0.1918
 -0.15    1.11  -0.1869
  0.86    1.19  -0.1833
  2.03    1.29  -0.1794
  2.89    1.35  -0.1765
  4.03    1.43  -0.1720
  4.94    1.50  -0.1672
  6.05    1.60  -0.1661
  7.13    1.66  -0.1595
  8.12    1.70  -0.1529
  7.91    1.70  -0.1528
  6.88    1.64  -0.1577
  5.76    1.58  -0.1635
  4.86    1.51  -0.1677
  3.78    1.43  -0.1727
  2.82    1.35  -0.1757
  1.87    1.28  -0.1807
  0.66    1.18  -0.1841
 -0.22    1.11  -0.1857
 -1.42    1.01  -0.1898
 -2.39    0.93  -0.1916
 -3.47    0.87  -0.2018
 -4.46    0.79  -0.2052
 -5.51    0.71  -0.2091
 -6.38    0.64  -0.2113
 -7.50    0.54  -0.2140
 -8.43    0.46  -0.2141
 -9.46    0.38  -0.2144
Tabulated from data in file 07169sn.dat & reduced using program C10.20

File w1011-30_fp35_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:58
