Airfoil: W1015-20 f0
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 0°

Number of Reynolds #'s:
3

Average Reynolds #:
99988.1
Number of angles of attack:
61
 alpha  /   Cl   /  Cm
-10.23   -0.79   0.0386
 -9.30   -0.91  -0.0074
 -8.27   -0.86  -0.0028
 -7.37   -0.79  -0.0002
 -6.19   -0.70   0.0005
 -5.18   -0.61   0.0030
 -4.23   -0.53   0.0056
 -3.10   -0.44   0.0111
 -2.20   -0.36   0.0082
 -1.16   -0.19  -0.0098
 -0.06   -0.03  -0.0178
  0.93    0.03  -0.0091
  2.03    0.16  -0.0103
  3.06    0.32  -0.0160
  4.13    0.42  -0.0150
  5.00    0.48  -0.0034
  6.09    0.57  -0.0047
  7.01    0.64   0.0007
  8.04    0.72   0.0066
  9.12    0.80   0.0160
 10.21    0.87   0.0185
 11.23    0.92   0.0215
 12.11    0.97   0.0127
 13.10    1.02   0.0172
 13.97    0.61  -0.0849
 14.96    0.63  -0.0900
 16.05    0.67  -0.0965
 17.06    0.69  -0.1128
 17.99    0.67  -0.1180
 19.07    0.70  -0.1292
 19.84    0.71  -0.1432
 19.62    0.71  -0.0964
 18.76    0.69  -0.0881
 17.72    0.66  -0.0765
 16.69    0.66  -0.0791
 15.78    0.64  -0.0724
 14.79    0.61  -0.0695
 13.66    0.60  -0.0639
 12.62    0.57  -0.0554
 11.73    0.58  -0.0486
 10.96    0.90   0.0215
  9.78    0.84   0.0132
  8.75    0.78   0.0126
  7.69    0.69   0.0109
  6.84    0.63   0.0078
  5.81    0.55   0.0046
  4.80    0.47  -0.0008
  3.69    0.41  -0.0083
  2.69    0.28   0.0027
  1.73    0.15   0.0118
  0.64    0.05   0.0057
 -0.51   -0.04  -0.0039
 -1.41   -0.19   0.0123
 -2.49   -0.35   0.0202
 -3.60   -0.44   0.0120
 -4.59   -0.52   0.0062
 -5.60   -0.61   0.0017
 -6.56   -0.70  -0.0016
 -7.66   -0.78  -0.0074
 -8.69   -0.85  -0.0122
 -9.61   -0.91   0.0091
Tabulated from data in file 06996gw.dat & reduced using program C10.20

Average Reynolds #:
200084.1
Number of angles of attack:
57
 alpha  /   Cl   /  Cm
-10.38   -0.97  -0.0154
 -9.24   -0.89  -0.0117
 -8.21   -0.82  -0.0079
 -7.40   -0.76  -0.0047
 -6.25   -0.68  -0.0003
 -5.33   -0.60   0.0035
 -4.23   -0.51   0.0073
 -3.15   -0.41   0.0066
 -2.10   -0.24  -0.0111
 -1.13   -0.14  -0.0086
 -0.19   -0.05  -0.0043
  0.89    0.05  -0.0015
  2.02    0.16   0.0021
  3.06    0.26   0.0046
  4.08    0.39  -0.0044
  5.04    0.50  -0.0082
  6.12    0.60  -0.0063
  7.02    0.68  -0.0033
  8.20    0.77   0.0002
  9.22    0.85   0.0032
 10.25    0.93   0.0060
 11.22    1.00   0.0089
 12.22    1.07   0.0124
 13.12    1.11   0.0157
 14.28    1.15   0.0185
 15.18    1.15   0.0065
 16.19    1.13  -0.0145
 16.94    0.68  -0.0912
 17.94    0.68  -0.0976
 17.66    0.71  -0.0939
 16.64    0.64  -0.0798
 15.62    0.68  -0.0836
 14.79    0.66  -0.0821
 13.77    0.62  -0.0745
 12.74    0.64  -0.0763
 11.77    0.65  -0.0668
 10.98    0.98   0.0117
  9.86    0.90   0.0085
  8.80    0.82   0.0054
  7.77    0.73   0.0023
  6.85    0.66  -0.0006
  5.72    0.56  -0.0040
  4.68    0.46  -0.0048
  3.65    0.34   0.0033
  2.68    0.23   0.0073
  1.56    0.13   0.0031
  0.51    0.03  -0.0005
 -0.53   -0.07  -0.0039
 -1.40   -0.15  -0.0081
 -2.54   -0.28  -0.0052
 -3.42   -0.43   0.0078
 -4.50   -0.53   0.0067
 -5.62   -0.62   0.0023
 -6.49   -0.69  -0.0014
 -7.68   -0.79  -0.0063
 -8.68   -0.86  -0.0100
 -9.68   -0.93  -0.0136
Tabulated from data in file 06998gw.dat & reduced using program C10.20

Average Reynolds #:
399875.2
Number of angles of attack:
55
 alpha  /   Cl   /  Cm
 -9.25   -0.93  -0.0134
 -8.33   -0.86  -0.0100
 -7.44   -0.78  -0.0064
 -6.37   -0.69  -0.0022
 -5.20   -0.59   0.0021
 -4.29   -0.50   0.0035
 -3.33   -0.34  -0.0104
 -2.18   -0.23  -0.0087
 -1.20   -0.14  -0.0065
 -0.13   -0.04  -0.0038
  0.88    0.06  -0.0019
  1.95    0.16  -0.0003
  2.99    0.27   0.0006
  4.02    0.39  -0.0027
  5.03    0.50  -0.0056
  6.06    0.60  -0.0029
  7.13    0.71  -0.0001
  8.14    0.79   0.0028
  9.13    0.88   0.0056
 10.12    0.96   0.0084
 11.26    1.05   0.0118
 12.14    1.11   0.0145
 13.22    1.18   0.0180
 14.15    1.22   0.0197
 15.27    1.20  -0.0059
 16.15    1.17  -0.0215
 17.18    1.13  -0.0357
 18.06    1.09  -0.0420
 17.88    1.10  -0.0401
 16.89    1.13  -0.0308
 15.84    1.18  -0.0177
 14.97    1.21   0.0050
 14.03    1.22   0.0203
 13.00    1.17   0.0183
 11.92    1.10   0.0151
 10.99    1.04   0.0123
  9.91    0.95   0.0092
  8.93    0.86   0.0062
  7.76    0.76   0.0030
  6.75    0.67   0.0001
  5.74    0.58  -0.0025
  4.77    0.48  -0.0036
  3.67    0.34   0.0030
  2.70    0.24   0.0018
  1.75    0.14   0.0008
  0.53    0.03  -0.0011
 -0.50   -0.07  -0.0033
 -1.35   -0.15  -0.0053
 -2.32   -0.25  -0.0079
 -3.42   -0.37  -0.0076
 -4.61   -0.54   0.0044
 -5.60   -0.63   0.0016
 -6.45   -0.70  -0.0019
 -7.67   -0.80  -0.0074
 -8.68   -0.89  -0.0118
Tabulated from data in file 07000gw.dat & reduced using program C10.20

File w1015-20_f0_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:58
