Airfoil: AG455ct-02r fn20.4
Builder: M. Drela, et al.
Comment: Clean, Flap = -20.4°

Number of Reynolds #'s:
5

Average Reynolds #:
100124.4
Number of angles of attack:
61
 alpha  /   Cl   /  Cm
-10.21   -1.05   0.1976
 -9.19   -1.06   0.1925
 -8.12   -1.08   0.1893
 -7.18   -1.09   0.1854
 -6.15   -1.12   0.1795
 -5.19   -1.11   0.1609
 -4.20   -1.11   0.1431
 -3.19   -1.07   0.1183
 -2.28   -1.02   0.1062
 -1.21   -0.93   0.1024
 -0.11   -0.83   0.1100
  0.88   -0.75   0.1133
  1.78   -0.67   0.1187
  2.85   -0.48   0.1152
  3.82   -0.40   0.1203
  5.01   -0.29   0.1188
  5.92   -0.26   0.1321
  6.96   -0.19   0.1388
  8.02   -0.13   0.1456
  9.03   -0.08   0.1522
 10.04    0.01   0.1541
 11.12    0.11   0.1526
 12.26    0.22   0.1500
 13.19    0.32   0.1445
 14.04    0.39   0.0463
 15.01    0.41   0.0247
 16.06    0.42   0.0113
 16.97    0.43   0.0089
 18.15    0.46   0.0009
 19.08    0.47  -0.0098
 20.19    0.50  -0.0148
 19.66    0.47  -0.0007
 18.64    0.50  -0.0023
 17.70    0.48   0.0056
 16.79    0.48   0.0054
 15.61    0.44   0.0202
 14.72    0.40   0.0324
 13.84    0.38   0.1437
 12.84    0.29   0.1527
 11.82    0.19   0.1597
 10.80    0.08   0.1612
  9.79   -0.01   0.1644
  8.76   -0.08   0.1602
  7.72   -0.13   0.1495
  6.70   -0.20   0.1450
  5.69   -0.23   0.1342
  4.70   -0.29   0.1276
  3.69   -0.38   0.1277
  2.60   -0.60   0.1274
  1.58   -0.66   0.1182
  0.58   -0.75   0.1138
 -0.56   -0.85   0.1066
 -1.53   -0.94   0.1072
 -2.51   -1.02   0.1145
 -3.50   -1.06   0.1355
 -4.51   -1.10   0.1630
 -5.51   -1.11   0.1836
 -6.48   -1.08   0.1925
 -7.44   -1.08   0.1985
 -8.50   -1.06   0.2017
 -9.47   -1.03   0.1980
Tabulated from data in file 06813gw.dat & reduced using program C10.20

Average Reynolds #:
199899.1
Number of angles of attack:
49
 alpha  /   Cl   /  Cm
 -6.23   -1.10   0.1903
 -5.22   -1.11   0.1760
 -4.20   -1.12   0.1533
 -3.22   -1.10   0.1299
 -2.23   -1.05   0.1151
 -1.26   -0.97   0.1093
 -0.23   -0.88   0.1146
  0.95   -0.79   0.1229
  1.76   -0.72   0.1284
  2.87   -0.65   0.1366
  3.97   -0.51   0.1479
  4.94   -0.44   0.1530
  5.99   -0.35   0.1549
  6.93   -0.26   0.1549
  8.07   -0.15   0.1530
  9.13   -0.05   0.1528
 10.18    0.05   0.1520
 11.19    0.14   0.1496
 12.21    0.25   0.1472
 13.17    0.34   0.1411
 14.18    0.45   0.1311
 14.92    0.48   0.0130
 16.10    0.51  -0.0023
 17.01    0.54  -0.0106
 18.02    0.54  -0.0131
 17.81    0.54  -0.0091
 16.74    0.53  -0.0034
 15.77    0.52   0.0018
 15.07    0.55   0.1131
 13.92    0.43   0.1376
 12.81    0.31   0.1467
 11.77    0.21   0.1501
 10.60    0.12   0.1522
  9.73    0.02   0.1533
  8.72   -0.08   0.1556
  7.67   -0.18   0.1557
  6.73   -0.28   0.1573
  5.66   -0.38   0.1573
  4.70   -0.46   0.1548
  3.59   -0.53   0.1482
  2.58   -0.66   0.1332
  1.52   -0.73   0.1269
  0.49   -0.82   0.1202
 -0.60   -0.91   0.1132
 -1.55   -0.99   0.1127
 -2.55   -1.07   0.1201
 -3.55   -1.12   0.1397
 -4.48   -1.14   0.1622
 -5.38   -1.13   0.1826
Tabulated from data in file 06814gw.dat & reduced using program C10.20

Average Reynolds #:
300196.1
Number of angles of attack:
49
 alpha  /   Cl   /  Cm
 -6.15   -1.13   0.1928
 -5.18   -1.14   0.1749
 -4.14   -1.13   0.1521
 -3.21   -1.11   0.1298
 -2.23   -1.05   0.1160
 -1.17   -0.98   0.1131
 -0.14   -0.89   0.1199
  0.92   -0.81   0.1301
  1.94   -0.72   0.1354
  2.94   -0.65   0.1434
  4.03   -0.57   0.1553
  4.91   -0.48   0.1557
  6.03   -0.37   0.1549
  7.06   -0.27   0.1551
  8.07   -0.17   0.1552
  9.07   -0.07   0.1540
 10.31    0.04   0.1532
 11.15    0.11   0.1520
 12.12    0.22   0.1489
 13.22    0.34   0.1441
 14.18    0.45   0.1355
 15.19    0.58   0.1101
 15.97    0.54   0.0025
 16.67    0.60  -0.0095
 17.80    0.57  -0.0136
