Airfoil: AG40d-02r fn15
Builder: M. Drela, et al.
Comment: Clean, Flap = -15°

Number of Reynolds #'s:
5

Average Reynolds #:
99930.7
Number of angles of attack:
53
 alpha  /   Cl   /  Cm
 -8.17   -0.87   0.1500
 -7.06   -0.89   0.1363
 -6.13   -0.90   0.1172
 -5.20   -0.87   0.0914
 -4.15   -0.79   0.0644
 -3.19   -0.71   0.0605
 -2.24   -0.64   0.0630
 -1.13   -0.55   0.0663
 -0.11   -0.48   0.0671
  0.89   -0.43   0.0801
  1.92   -0.28   0.0715
  2.99   -0.21   0.0762
  3.95   -0.14   0.0770
  5.01   -0.08   0.0844
  5.98   -0.02   0.0960
  7.05    0.07   0.0997
  8.13    0.17   0.1007
  9.09    0.26   0.1010
 10.03    0.35   0.0997
 11.10    0.46   0.0969
 12.19    0.55   0.0909
 13.16    0.62   0.0854
 14.06    0.57  -0.0057
 14.98    0.57  -0.0250
 15.97    0.61  -0.0379
 17.04    0.61  -0.0420
 18.05    0.62  -0.0462
 17.82    0.62  -0.0355
 16.80    0.62  -0.0309
 15.82    0.59  -0.0230
 14.81    0.59  -0.0126
 13.89    0.68   0.0872
 12.85    0.63   0.0987
 11.91    0.55   0.1042
 10.85    0.45   0.1093
  9.75    0.34   0.1105
  8.77    0.25   0.1125
  7.69    0.15   0.1125
  6.80    0.07   0.1112
  5.73   -0.01   0.1075
  4.71   -0.07   0.0947
  3.64   -0.13   0.0883
  2.62   -0.20   0.0844
  1.66   -0.31   0.0926
  0.60   -0.42   0.0847
 -0.32   -0.47   0.0696
 -1.41   -0.56   0.0667
 -2.44   -0.65   0.0634
 -3.54   -0.73   0.0647
 -4.51   -0.82   0.0812
 -5.48   -0.87   0.1142
 -6.43   -0.89   0.1411
 -7.45   -0.89   0.1548
Tabulated from data in file 06833gw.dat & reduced using program C10.20

Average Reynolds #:
200009.5
Number of angles of attack:
53
 alpha  /   Cl   /  Cm
 -8.07   -0.95   0.1620
 -7.16   -0.95   0.1478
 -6.14   -0.97   0.1302
 -5.24   -0.95   0.1051
 -4.19   -0.89   0.0769
 -3.15   -0.80   0.0660
 -2.23   -0.72   0.0725
 -1.24   -0.64   0.0763
 -0.10   -0.55   0.0806
  0.89   -0.47   0.0841
  1.91   -0.41   0.0993
  3.02   -0.30   0.1000
  3.97   -0.21   0.1014
  4.98   -0.11   0.1012
  5.97   -0.02   0.1008
  7.02    0.08   0.1001
  8.05    0.19   0.0996
  9.13    0.31   0.0976
 10.11    0.42   0.0960
 11.18    0.53   0.0920
 12.09    0.62   0.0862
 13.20    0.70   0.0790
 14.20    0.75   0.0648
 15.01    0.66  -0.0302
 16.05    0.66  -0.0390
 16.99    0.67  -0.0429
 18.00    0.68  -0.0478
 17.79    0.69  -0.0453
 16.80    0.67  -0.0389
 15.74    0.67  -0.0379
 14.82    0.68  -0.0157
 13.97    0.75   0.0733
 12.98    0.70   0.0833
 11.95    0.61   0.0905
 10.80    0.51   0.0972
  9.82    0.40   0.0998
  8.80    0.29   0.1018
  7.77    0.18   0.1027
  6.69    0.06   0.1038
  5.69   -0.04   0.1032
  4.72   -0.14   0.1041
  3.63   -0.24   0.1037
