Airfoil: W1015-30 fp50
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 50°

Number of Reynolds #'s:
1

Average Reynolds #:
200547.6
Number of angles of attack:
9
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.21    0.673   0.1641   0.1855   0.1707   0.1696   0.1574   0.1531   0.1542   0.1575   0.1652
 -6.10    0.822   0.1741   0.1790   0.1690   0.1767   0.1729   0.1707   0.1725   0.1743   0.1779
 -4.06    0.993   0.1841   0.1885   0.1867   0.1912   0.1828   0.1828   0.1809   0.1781   0.1820
 -1.94    1.178   0.1844   0.1865   0.1834   0.1889   0.1831   0.1819   0.1822   0.1814   0.1877
 -0.06    1.319   0.1913   0.1940   0.1873   0.1931   0.1902   0.1888   0.1907   0.1906   0.1954
  2.09    1.472   0.1932   0.1904   0.1883   0.1957   0.1908   0.1930   0.1952   0.1954   0.1967
  4.04    1.596   0.1962   0.1888   0.1871   0.1957   0.1952   0.1975   0.1998   0.2004   0.2051
  6.21    1.747   0.2026   0.2027   0.2025   0.2050   0.2016   0.2034   0.2029   0.2007   0.2018
  8.19    1.873   0.2082   0.2051   0.2080   0.2123   0.2112   0.2131   0.2096   0.2031   0.2035
Tabulated from data in file 07255gw_interp.dat & reduced using program C10.20

File w1015-30_fp50_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
