Airfoil: AG40d-02r fp40
Builder: M. Drela, et al.
Comment: Clean, Flap = 40°

Number of Reynolds #'s:
4

Average Reynolds #:
101890.3
Number of angles of attack:
49
 alpha  /   Cl   /  Cm
-10.24    0.45  -0.2586
 -9.19    0.56  -0.2618
 -8.13    0.63  -0.2640
 -7.14    0.71  -0.2589
 -6.11    0.74  -0.2458
 -5.20    0.79  -0.2330
 -4.05    0.88  -0.2330
 -3.02    0.97  -0.2352
 -2.09    1.04  -0.2328
 -1.03    1.13  -0.2309
 -0.02    1.18  -0.2266
  1.08    1.31  -0.2271
  2.04    1.36  -0.2197
  3.07    1.40  -0.2144
  4.10    1.45  -0.2042
  5.14    1.48  -0.1956
  6.10    1.51  -0.1865
  7.17    1.57  -0.2312
  7.98    1.43  -0.2697
  8.98    1.41  -0.2997
  9.88    1.36  -0.3083
 11.00    1.35  -0.3153
 11.88    1.37  -0.3263
 12.87    1.40  -0.3345
 13.95    1.40  -0.3382
 13.70    1.43  -0.3311
 12.65    1.37  -0.3180
 11.58    1.37  -0.3102
 10.66    1.34  -0.3000
  9.70    1.35  -0.2910
  8.67    1.44  -0.2785
  7.79    1.50  -0.2546
  6.76    1.59  -0.2048
  5.84    1.55  -0.1801
  4.82    1.52  -0.1880
  3.88    1.48  -0.1985
  2.85    1.44  -0.2084
  1.81    1.38  -0.2126
  0.76    1.32  -0.2216
 -0.26    1.17  -0.2126
 -1.34    1.13  -0.2221
 -2.32    1.05  -0.2203
 -3.40    0.96  -0.2197
 -4.40    0.89  -0.2203
 -5.37    0.81  -0.2257
 -6.42    0.76  -0.2368
 -7.38    0.72  -0.2496
 -8.49    0.64  -0.2521
 -9.45    0.56  -0.2512
Tabulated from data in file 06911gw.dat & reduced using program C10.20

Average Reynolds #:
203894.4
Number of angles of attack:
41
 alpha  /   Cl   /  Cm
-10.26    0.50  -0.2629
 -9.24    0.60  -0.2671
 -8.29    0.69  -0.2684
 -7.21    0.78  -0.2672
 -6.25    0.86  -0.2656
 -5.18    0.94  -0.2614
