Airfoil: W1011-30 fp30
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 30°

Number of Reynolds #'s:
2

Average Reynolds #:
100201.0
Number of angles of attack:
15
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -9.23    0.228   0.0826   0.0788   0.0779   0.0827   0.0829   0.0857   0.0884   0.0846   0.0796
 -8.25    0.264   0.0830   0.0795   0.0768   0.0829   0.0815   0.0816   0.0839   0.0876   0.0900
 -7.13    0.292   0.0798   0.0774   0.0763   0.0818   0.0810   0.0820   0.0830   0.0806   0.0763
 -6.19    0.380   0.0834   0.0717   0.0773   0.0874   0.0875   0.0887   0.0892   0.0856   0.0803
 -5.07    0.507   0.0866   0.0779   0.0795   0.0888   0.0899   0.0921   0.0926   0.0886   0.0831
 -3.99    0.619   0.0904   0.0866   0.0839   0.0913   0.0939   0.0947   0.0958   0.0904   0.0870
 -3.09    0.717   0.0948   0.0943   0.0921   0.0972   0.0947   0.0942   0.0989   0.0947   0.0925
 -1.94    0.838   0.0978   0.0935   0.0922   0.0980   0.0974   0.1021   0.1032   0.0992   0.0970
 -0.96    0.908   0.0840   0.0849   0.0828   0.0839   0.0805   0.0809   0.0855   0.0866   0.0867
  0.07    0.975   0.0886   0.0806   0.0830   0.0875   0.0917   0.0938   0.0928   0.0899   0.0895
  1.08    1.047   0.0909   0.0778   0.0825   0.0884   0.0907   0.0941   0.0987   0.0979   0.0968
  1.94    1.096   0.0935   0.0778   0.0843   0.0921   0.0953   0.0963   0.0995   0.0994   0.1031
  3.13    1.176   0.0969   0.0808   0.0887   0.0969   0.0967   0.1008   0.1055   0.1043   0.1011
  4.16    1.240   0.1032   0.1074   0.1032   0.1054   0.1026   0.1028   0.1039   0.0986   0.1020
  5.09    1.295   0.1050   0.1132   0.1079   0.1066   0.1007   0.1051   0.1069   0.1006   0.0987
Tabulated from data in file 07166gw_interp.dat & reduced using program C10.20

Average Reynolds #:
200077.9
Number of angles of attack:
16
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -9.14    0.303   0.0785   0.0751   0.0746   0.0746   0.0745   0.0781   0.0839   0.0843   0.0826
 -8.13    0.386   0.0799   0.0783   0.0754   0.0786   0.0750   0.0774   0.0838   0.0857   0.0848
 -7.10    0.467   0.0807   0.0782   0.0745   0.0780   0.0751   0.0785   0.0849   0.0887   0.0873
 -6.21    0.542   0.0821   0.0790   0.0762   0.0787   0.0774   0.0803   0.0883   0.0883   0.0888
 -5.25    0.639   0.0839   0.0823   0.0792   0.0808   0.0773   0.0811   0.0880   0.0912   0.0915
 -4.02    0.733   0.0855   0.0828   0.0800   0.0808   0.0777   0.0839   0.0908   0.0937   0.0943
 -3.03    0.812   0.0876   0.0857   0.0842   0.0850   0.0812   0.0819   0.0907   0.0952   0.0967
 -2.08    0.842   0.0766   0.0785   0.0746   0.0760   0.0721   0.0725   0.0766   0.0788   0.0836
 -0.99    0.954   0.0873   0.0722   0.0765   0.0828   0.0887   0.0979   0.1000   0.0948   0.0860
  0.07    1.023   0.0918   0.0707   0.0787   0.0836   0.0886   0.0976   0.1061   0.1061   0.1029
  0.99    1.093   0.0932   0.0717   0.0803   0.0835   0.0891   0.0981   0.1064   0.1090   0.1077
  2.01    1.176   0.0956   0.0729   0.0844   0.0898   0.0947   0.1014   0.1077   0.1072   0.1064
  3.18    1.273   0.0994   0.0754   0.0897   0.0937   0.0967   0.1057   0.1118   0.1112   0.1110
  4.13    1.335   0.1035   0.0888   0.0965   0.0996   0.1046   0.1113   0.1135   0.1077   0.1058
  5.15    1.395   0.1081   0.1016   0.1050   0.1108   0.1090   0.1106   0.1127   0.1092   0.1054
  6.20    1.459   0.1103   0.1064   0.1096   0.1144   0.1099   0.1112   0.1153   0.1091   0.1064
Tabulated from data in file 07164gw_interp.dat & reduced using program C10.20

File w1011-30_fp30_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
