Airfoil: W1011-20 fp20
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 20°

Number of Reynolds #'s:
3

Average Reynolds #:
99968.8
Number of angles of attack:
18
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -9.33   -0.313   0.0348   0.0372   0.0356   0.0354   0.0344   0.0338   0.0337   0.0341   0.0343
 -8.38   -0.222   0.0344   0.0369   0.0344   0.0351   0.0346   0.0333   0.0334   0.0337   0.0338
 -7.18   -0.116   0.0344   0.0360   0.0354   0.0337   0.0350   0.0335   0.0335   0.0344   0.0340
 -6.24   -0.034   0.0367   0.0377   0.0378   0.0373   0.0376   0.0364   0.0353   0.0358   0.0355
 -5.18    0.060   0.0370   0.0386   0.0388   0.0376   0.0367   0.0361   0.0349   0.0375   0.0355
 -4.16    0.138   0.0381   0.0400   0.0406   0.0352   0.0384   0.0374   0.0362   0.0403   0.0366
 -3.06    0.236   0.0384   0.0396   0.0416   0.0366   0.0381   0.0379   0.0361   0.0411   0.0367
 -2.24    0.320   0.0381   0.0388   0.0402   0.0391   0.0376   0.0369   0.0375   0.0389   0.0361
 -1.04    0.445   0.0378   0.0339   0.0398   0.0407   0.0381   0.0375   0.0382   0.0391   0.0349
 -0.09    0.557   0.0346   0.0352   0.0341   0.0403   0.0332   0.0312   0.0341   0.0333   0.0356
  0.96    0.698   0.0303   0.0275   0.0245   0.0387   0.0309   0.0290   0.0319   0.0285   0.0313
  1.92    0.728   0.0356   0.0398   0.0327   0.0389   0.0335   0.0347   0.0385   0.0289   0.0380
  3.01    0.813   0.0385   0.0421   0.0362   0.0421   0.0380   0.0378   0.0391   0.0324   0.0405
  3.99    0.893   0.0416   0.0439   0.0410   0.0475   0.0403   0.0391   0.0430   0.0363   0.0420
  5.00    0.964   0.0447   0.0456   0.0442   0.0512   0.0430   0.0416   0.0466   0.0417   0.0438
  6.13    1.050   0.0497   0.0499   0.0494   0.0559   0.0480   0.0480   0.0511   0.0461   0.0495
  7.12    1.123   0.0568   0.0565   0.0566   0.0616   0.0560   0.0553   0.0581   0.0554   0.0551
  8.05    1.149   0.0705   0.0706   0.0707   0.0741   0.0700   0.0687   0.0712   0.0692   0.0694
Tabulated from data in file 07097sn_interp.dat & reduced using program C10.20

Average Reynolds #:
199804.8
Number of angles of attack:
18
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -9.41   -0.256   0.0287   0.0290   0.0284   0.0312   0.0272   0.0274   0.0288   0.0288   0.0287
 -8.25   -0.141   0.0283   0.0293   0.0272   0.0314   0.0271   0.0267   0.0287   0.0275   0.0284
 -7.32   -0.046   0.0284   0.0295   0.0280   0.0306   0.0269   0.0270   0.0287   0.0280   0.0287
 -6.24    0.056   0.0288   0.0308   0.0283   0.0314   0.0271   0.0273   0.0281   0.0282   0.0295
 -5.17    0.158   0.0288   0.0305   0.0277   0.0313   0.0269   0.0277   0.0287   0.0277   0.0299
