Airfoil: W1015-20 fp40
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 40°

Number of Reynolds #'s:
1

Average Reynolds #:
199781.6
Number of angles of attack:
10
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.15    0.242   0.0808   0.0844   0.0804   0.0864   0.0833   0.0788   0.0755   0.0765   0.0814
 -6.29    0.423   0.0836   0.0874   0.0847   0.0892   0.0877   0.0838   0.0809   0.0755   0.0801
 -4.17    0.633   0.0850   0.0868   0.0851   0.0919   0.0868   0.0840   0.0828   0.0810   0.0815
 -2.05    0.808   0.0847   0.0856   0.0829   0.0887   0.0870   0.0873   0.0837   0.0806   0.0815
 -0.09    0.960   0.0899   0.0925   0.0892   0.0931   0.0910   0.0887   0.0891   0.0875   0.0880
  2.07    1.130   0.0907   0.0955   0.0911   0.0941   0.0888   0.0876   0.0882   0.0889   0.0918
  4.11    1.290   0.0898   0.0948   0.0903   0.0924   0.0870   0.0864   0.0871   0.0878   0.0924
  6.14    1.452   0.0928   0.0978   0.0932   0.0954   0.0905   0.0886   0.0900   0.0917   0.0952
  8.06    1.617   0.0971   0.1043   0.1015   0.1041   0.0974   0.0923   0.0902   0.0914   0.0953
 10.16    1.747   0.1017   0.1057   0.1017   0.1094   0.1014   0.0984   0.0990   0.0981   0.1000
Tabulated from data in file 07248gw_interp.dat & reduced using program C10.20

File w1015-20_fp40_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
