Airfoil: W1011-30 fp15
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 15°

Number of Reynolds #'s:
3

Average Reynolds #:
100051.1
Number of angles of attack:
43
 alpha  /   Cl   /  Cm
-10.19   -0.11  -0.1528
 -9.35   -0.06  -0.1530
 -8.27    0.01  -0.1485
 -7.24    0.08  -0.1445
 -6.31    0.16  -0.1414
 -5.11    0.25  -0.1379
 -4.14    0.31  -0.1342
 -3.08    0.40  -0.1285
 -2.18    0.47  -0.1263
 -1.00    0.56  -0.1230
 -0.07    0.63  -0.1147
  0.94    0.91  -0.1335
  2.07    0.95  -0.1230
  3.11    1.01  -0.1164
  4.12    1.06  -0.1104
  5.10    1.10  -0.1032
  6.13    1.16  -0.0970
  7.03    1.21  -0.0928
  8.00    1.26  -0.1058
  9.01    1.04  -0.1902
  9.88    1.05  -0.2017
 11.03    1.08  -0.2084
 10.60    1.10  -0.1906
  9.72    1.09  -0.1822
  8.77    1.09  -0.1697
  7.84    1.29  -0.0839
  6.80    1.23  -0.0874
  5.70    1.17  -0.0925
  4.81    1.13  -0.0986
  3.79    1.08  -0.1065
  2.68    1.00  -0.1119
  1.84    0.97  -0.1204
  0.60    0.83  -0.1225
 -0.26    0.63  -0.1077
 -1.29    0.57  -0.1127
 -2.47    0.47  -0.1159
 -3.36    0.41  -0.1177
 -4.55    0.31  -0.1213
 -5.37    0.24  -0.1254
 -6.57    0.16  -0.1328
 -7.56    0.07  -0.1377
 -8.55    0.01  -0.1444
 -9.48   -0.05  -0.1477
Tabulated from data in file 07145gw.dat & reduced using program C10.20

Average Reynolds #:
199965.7
Number of angles of attack:
45
 alpha  /   Cl   /  Cm
-10.30   -0.11  -0.1504
 -9.33   -0.01  -0.1529
 -8.23    0.09  -0.1545
 -7.17    0.17  -0.1543
 -6.18    0.23  -0.1511
 -5.22    0.34  -0.1530
 -4.12    0.39  -0.1454
 -3.18    0.52  -0.1481
 -2.06    0.57  -0.1393
 -0.97    0.69  -0.1386
  0.01    0.89  -0.1442
  1.04    0.94  -0.1334
  1.99    0.97  -0.1267
  3.10    1.02  -0.1191
  3.97    1.07  -0.1135
  5.05    1.13  -0.1071
  6.18    1.20  -0.1009
  7.05    1.26  -0.0970
  8.03    1.31  -0.0917
  8.94    1.15  -0.1841
 10.02    1.09  -0.2018
 10.95    1.10  -0.2094
 11.89    1.05  -0.2077
 11.60    1.09  -0.2070
 10.80    1.09  -0.2040
  9.65    1.15  -0.1973
  8.96    1.35  -0.0841
  7.88    1.31  -0.0885
  6.83    1.24  -0.0937
  5.72    1.17  -0.0990
  4.72    1.12  -0.1046
  3.88    1.06  -0.1093
  2.66    1.00  -0.1179
  1.66    0.96  -0.1247
  0.68    0.92  -0.1322
 -0.24    0.88  -0.1439
 -1.33    0.64  -0.1313
 -2.23    0.57  -0.1369
 -3.35    0.50  -0.1434
 -4.40    0.39  -0.1428
 -5.36    0.32  -0.1475
 -6.47    0.23  -0.1490
 -7.54    0.14  -0.1510
 -8.52    0.06  -0.1519
 -9.44   -0.02  -0.1515
Tabulated from data in file 07146gw.dat & reduced using program C10.20

Average Reynolds #:
399924.8
Number of angles of attack:
43
 alpha  /   Cl   /  Cm
-10.25   -0.10  -0.1512
 -9.32   -0.00  -0.1524
 -8.17    0.11  -0.1541
 -7.18    0.22  -0.1545
 -6.17    0.32  -0.1554
 -5.11    0.41  -0.1564
 -4.10    0.50  -0.1565
 -3.06    0.57  -0.1541
 -2.08    0.67  -0.1544
 -1.04    0.83  -0.1529
 -0.17    0.88  -0.1441
  1.03    0.96  -0.1373
  2.05    1.03  -0.1311
  2.94    1.08  -0.1252
  4.07    1.14  -0.1200
  5.08    1.19  -0.1124
  6.18    1.24  -0.1055
  7.14    1.30  -0.0992
  8.15    1.35  -0.0944
  9.21    1.40  -0.0887
 10.20    1.44  -0.0856
 10.28    1.20  -0.1939
 10.28    1.20  -0.1963
 10.44    1.45  -0.0833
  8.83    1.39  -0.0896
  7.79    1.33  -0.0943
  6.81    1.28  -0.1000
  5.76    1.22  -0.1065
  4.73    1.17  -0.1127
  3.74    1.13  -0.1200
  2.88    1.08  -0.1246
  1.69    1.00  -0.1314
  0.70    0.94  -0.1375
 -0.26    0.87  -0.1435
 -1.39    0.78  -0.1537
 -2.29    0.65  -0.1531
 -3.44    0.55  -0.1543
 -4.49    0.47  -0.1544
 -5.52    0.38  -0.1548
 -6.52    0.29  -0.1535
 -7.56    0.18  -0.1522
 -8.44    0.09  -0.1520
 -9.59   -0.03  -0.1509
Tabulated from data in file 07148gw.dat & reduced using program C10.20

File w1011-30_fp15_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:58
