Airfoil: W1011-30 fp5
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 5°

Number of Reynolds #'s:
3

Average Reynolds #:
99986.5
Number of angles of attack:
49
 alpha  /   Cl   /  Cm
-10.35   -0.72  -0.0469
 -9.35   -0.64  -0.0460
 -8.22   -0.53  -0.0509
 -7.19   -0.41  -0.0561
 -6.16   -0.30  -0.0634
 -5.18   -0.19  -0.0643
 -4.15   -0.08  -0.0638
 -3.13    0.01  -0.0570
 -2.10    0.12  -0.0614
 -1.16    0.20  -0.0609
 -0.15    0.30  -0.0624
  0.88    0.42  -0.0665
  1.95    0.51  -0.0551
  2.97    0.59  -0.0493
  3.92    0.67  -0.0474
  5.08    0.76  -0.0443
  6.14    0.85  -0.0426
  7.11    0.91  -0.0387
  8.10    0.97  -0.0349
  9.05    1.02  -0.0505
 10.04    0.82  -0.1361
 10.94    0.83  -0.1406
 11.89    0.83  -0.1435
 12.96    0.81  -0.1472
 13.87    0.82  -0.1461
 13.82    0.82  -0.1352
 12.63    0.85  -0.1324
 11.66    0.85  -0.1284
 10.72    0.82  -0.1213
  9.71    0.87  -0.1124
  8.91    1.04  -0.0300
  7.86    0.98  -0.0332
  6.73    0.91  -0.0367
  5.70    0.84  -0.0405
  4.71    0.76  -0.0429
  3.68    0.67  -0.0450
  2.60    0.58  -0.0478
  1.62    0.50  -0.0546
  0.73    0.42  -0.0593
 -0.43    0.29  -0.0562
 -1.41    0.21  -0.0541
 -2.44    0.11  -0.0525
 -3.41    0.02  -0.0520
 -4.52   -0.09  -0.0516
 -5.54   -0.19  -0.0513
 -6.34   -0.29  -0.0522
 -7.58   -0.43  -0.0510
 -8.59   -0.55  -0.0486
 -9.60   -0.64  -0.0481
Tabulated from data in file 07138gw.dat & reduced using program C10.20

Average Reynolds #:
200225.2
Number of angles of attack:
49
 alpha  /   Cl   /  Cm
-10.26   -0.68  -0.0505
 -9.30   -0.59  -0.0539
 -8.26   -0.49  -0.0557
 -7.18   -0.38  -0.0572
 -6.19   -0.28  -0.0593
 -5.14   -0.18  -0.0601
 -4.11   -0.08  -0.0613
 -3.07    0.03  -0.0607
 -2.19    0.12  -0.0593
 -1.03    0.24  -0.0605
 -0.20    0.33  -0.0610
  1.02    0.44  -0.0578
  2.04    0.54  -0.0536
  3.11    0.64  -0.0521
  4.09    0.72  -0.0504
  5.13    0.82  -0.0485
  6.12    0.90  -0.0461
  7.18    0.98  -0.0428
  8.06    1.03  -0.0397
  9.19    1.10  -0.0351
 10.18    1.13  -0.0316
 10.76    0.94  -0.1432
 11.99    0.91  -0.1500
 12.95    0.91  -0.1520
 13.97    0.86  -0.1496
 13.73    0.87  -0.1436
 12.76    0.89  -0.1434
 11.74    0.90  -0.1409
 10.84    0.97  -0.1338
  9.89    1.13  -0.0279
  8.84    1.09  -0.0317
  7.79    1.03  -0.0361
  6.80    0.96  -0.0400
  5.70    0.87  -0.0435
  4.74    0.79  -0.0455
  3.70    0.70  -0.0478
  2.78    0.61  -0.0492
  1.67    0.51  -0.0523
  0.69    0.42  -0.0572
 -0.42    0.31  -0.0588
 -1.35    0.21  -0.0571
 -2.45    0.10  -0.0581
 -3.43   -0.01  -0.0588
 -4.42   -0.11  -0.0590
 -5.41   -0.20  -0.0587
 -6.59   -0.32  -0.0580
 -7.46   -0.41  -0.0568
 -8.57   -0.52  -0.0559
 -9.57   -0.61  -0.0541
Tabulated from data in file 07136gw.dat & reduced using program C10.20

Average Reynolds #:
399798.9
Number of angles of attack:
49
 alpha  /   Cl   /  Cm
-10.33   -0.71  -0.0522
 -9.39   -0.63  -0.0537
 -8.27   -0.51  -0.0552
 -7.25   -0.41  -0.0560
 -6.41   -0.32  -0.0569
 -5.21   -0.20  -0.0574
 -4.17   -0.09  -0.0571
 -3.13    0.02  -0.0574
 -2.10    0.13  -0.0592
 -1.10    0.23  -0.0589
 -0.15    0.33  -0.0575
  0.84    0.41  -0.0552
  1.89    0.50  -0.0537
  2.99    0.61  -0.0527
  3.96    0.71  -0.0515
  5.06    0.81  -0.0497
  6.05    0.90  -0.0478
  7.17    0.99  -0.0450
  8.14    1.07  -0.0422
  9.17    1.13  -0.0378
 10.14    1.19  -0.0336
 11.12    1.22  -0.0294
 12.21    1.22  -0.0317
 12.80    0.97  -0.1532
 13.89    0.90  -0.1520
 13.78    0.91  -0.1518
 12.75    0.93  -0.1475
 11.66    0.99  -0.1346
 11.60    1.22  -0.0275
  9.84    1.17  -0.0335
  8.74    1.11  -0.0380
  7.83    1.04  -0.0415
  6.77    0.97  -0.0454
  5.83    0.89  -0.0474
  4.70    0.78  -0.0493
  3.83    0.70  -0.0508
  2.66    0.59  -0.0518
  1.69    0.49  -0.0526
  0.80    0.41  -0.0538
 -0.41    0.31  -0.0571
 -1.39    0.21  -0.0588
 -2.33    0.11  -0.0585
 -3.43   -0.01  -0.0578
 -4.40   -0.11  -0.0573
 -5.53   -0.23  -0.0572
 -6.45   -0.32  -0.0561
 -7.70   -0.46  -0.0554
 -8.44   -0.53  -0.0549
 -9.52   -0.64  -0.0536
Tabulated from data in file 07134gw.dat & reduced using program C10.20

File w1011-30_fp5_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:57
