Airfoil: W1011-30 fp40
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 40°

Number of Reynolds #'s:
1

Average Reynolds #:
200978.3
Number of angles of attack:
8
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.22    0.620   0.1293   0.1342   0.1298   0.1336   0.1282   0.1296   0.1283   0.1273   0.1237
 -6.18    0.766   0.1365   0.1417   0.1365   0.1394   0.1352   0.1349   0.1380   0.1354   0.1312
 -4.02    0.915   0.1378   0.1441   0.1389   0.1380   0.1343   0.1350   0.1393   0.1368   0.1356
 -2.02    1.068   0.1373   0.1427   0.1426   0.1458   0.1386   0.1341   0.1336   0.1327   0.1286
  0.02    1.228   0.1527   0.1499   0.1501   0.1589   0.1553   0.1544   0.1552   0.1509   0.1471
  2.10    1.384   0.1554   0.1526   0.1540   0.1622   0.1592   0.1559   0.1566   0.1531   0.1497
  4.18    1.519   0.1580   0.1510   0.1493   0.1565   0.1549   0.1605   0.1649   0.1629   0.1639
  6.08    1.598   0.1624   0.1598   0.1571   0.1636   0.1611   0.1612   0.1633   0.1646   0.1688
Tabulated from data in file 07251gw_interp.dat & reduced using program C10.20

File w1011-30_fp40_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
