Airfoil: W1015-30 f0
Builder: S. Cassidy
Comment: Clean, Cf/C = 30%, Flap = 0°

Number of Reynolds #'s:
3

Average Reynolds #:
99952.2
Number of angles of attack:
22
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.36   -0.836   0.0158   0.0161   0.0161   0.0166   0.0153   0.0149   0.0159   0.0161   0.0157
 -7.20   -0.742   0.0139   0.0142   0.0139   0.0148   0.0133   0.0131   0.0138   0.0144   0.0138
 -6.34   -0.669   0.0131   0.0130   0.0126   0.0138   0.0122   0.0126   0.0132   0.0138   0.0132
 -5.24   -0.578   0.0120   0.0118   0.0112   0.0131   0.0111   0.0117   0.0122   0.0124   0.0122
 -4.11   -0.471   0.0107   0.0108   0.0106   0.0120   0.0099   0.0102   0.0106   0.0111   0.0106
 -3.28   -0.353   0.0101   0.0098   0.0103   0.0112   0.0097   0.0094   0.0102   0.0099   0.0099
 -2.11   -0.223   0.0091   0.0091   0.0091   0.0096   0.0094   0.0085   0.0087   0.0090   0.0092
 -1.13   -0.130   0.0090   0.0091   0.0088   0.0094   0.0095   0.0088   0.0083   0.0092   0.0089
 -0.13   -0.035   0.0090   0.0089   0.0090   0.0094   0.0095   0.0091   0.0085   0.0091   0.0085
  0.84    0.056   0.0093   0.0095   0.0088   0.0096   0.0083   0.0102   0.0090   0.0090   0.0099
  1.85    0.150   0.0091   0.0094   0.0085   0.0096   0.0087   0.0091   0.0089   0.0092   0.0093
  2.96    0.256   0.0098   0.0100   0.0096   0.0102   0.0096   0.0102   0.0099   0.0092   0.0100
  4.08    0.371   0.0107   0.0107   0.0109   0.0106   0.0106   0.0111   0.0107   0.0101   0.0106
  5.02    0.460   0.0116   0.0117   0.0119   0.0114   0.0117   0.0121   0.0115   0.0111   0.0114
  6.15    0.596   0.0128   0.0135   0.0130   0.0128   0.0132   0.0126   0.0126   0.0121   0.0124
  7.16    0.694   0.0138   0.0136   0.0135   0.0145   0.0146   0.0131   0.0140   0.0134   0.0136
  8.22    0.790   0.0149   0.0138   0.0141   0.0169   0.0154   0.0140   0.0158   0.0144   0.0143
  9.10    0.862   0.0160   0.0149   0.0149   0.0182   0.0166   0.0153   0.0173   0.0155   0.0153
 10.14    0.943   0.0180   0.0170   0.0164   0.0201   0.0188   0.0172   0.0196   0.0173   0.0176
 11.21    1.027   0.0203   0.0194   0.0187   0.0217   0.0209   0.0199   0.0221   0.0195   0.0204
 12.21    1.096   0.0226   0.0217   0.0213   0.0231   0.0231   0.0224   0.0247   0.0220   0.0227
 13.27    1.157   0.0264   0.0258   0.0253   0.0259   0.0253   0.0266   0.0285   0.0268   0.0269
 14.32    1.198   0.0355   0.0301   0.0315   0.0308   0.0305   0.0357   0.0445   0.0436   0.0371
Tabulated from data in file 06939gw_interp.dat & reduced using program C10.20

File w1015-30_f0_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
