Airfoil: AG40d-02r fp10
Builder: M. Drela, et al.
Comment: Clean, Flap = 10°

Number of Reynolds #'s:
5
 -4.53    0.44  -0.1659
 -5.43    0.34  -0.1646
 -6.57    0.22  -0.1614
 -7.56    0.12  -0.1584
 -8.61    0.00  -0.1543
Tabulated from data in file 06877gw.dat & reduced using program C10.20

Average Reynolds #:
499995.4
Number of angles of attack:
37
 alpha  /   Cl   /  Cm
 -8.18    0.06  -0.1585
 -7.20    0.17  -0.1616
 -6.18    0.27  -0.1631
 -5.13    0.39  -0.1666
 -4.21    0.49  -0.1667
 -3.04    0.62  -0.1671
 -2.11    0.71  -0.1664
 -0.97    0.82  -0.1647
 -0.04    0.92  -0.1631
  1.08    0.99  -0.1545
  1.96    1.06  -0.1504
  2.95    1.13  -0.1438
  4.04    1.19  -0.1357
  4.99    1.24  -0.1281
  6.03    1.30  -0.1202
  7.19    1.36  -0.1128
  8.05    1.38  -0.1075
  9.21    1.42  -0.1006
 10.16    1.43  -0.0985
  9.88    1.44  -0.0976
  8.87    1.42  -0.1013
  7.71    1.38  -0.1080
  6.76    1.33  -0.1136
  5.80    1.29  -0.1214
  4.73    1.24  -0.1299
  3.73    1.18  -0.1376
  2.74    1.12  -0.1448
  1.71    1.05  -0.1507
  0.47    0.96  -0.1578
 -0.57    0.87  -0.1633
 -1.32    0.79  -0.1646
 -2.40    0.68  -0.1651
 -3.48    0.58  -0.1653
 -4.60    0.45  -0.1643
 -5.53    0.35  -0.1631
 -6.52    0.24  -0.1621
 -7.53    0.13  -0.1592
Tabulated from data in file 06879gw.dat & reduced using program C10.20

File ag40d_fp10_lift.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:56
