Airfoil: W1011-20 fp40
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 40°

Number of Reynolds #'s:
1

Average Reynolds #:
199809.3
Number of angles of attack:
8
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.25    0.313   0.0827   0.0800   0.0782   0.0803   0.0767   0.0788   0.0855   0.0910   0.0911
 -6.17    0.516   0.0843   0.0822   0.0785   0.0828   0.0791   0.0781   0.0879   0.0930   0.0929
 -4.08    0.701   0.0864   0.0838   0.0807   0.0854   0.0817   0.0804   0.0869   0.0943   0.0979
 -2.11    0.854   0.0828   0.0856   0.0837   0.0862   0.0768   0.0727   0.0781   0.0836   0.0953
 -0.02    0.994   0.0926   0.0929   0.0895   0.0919   0.0892   0.0917   0.0947   0.0962   0.0950
  2.04    1.173   0.0954   0.0928   0.0897   0.0945   0.0951   0.0965   0.0988   0.0986   0.0977
  4.04    1.323   0.0986   0.0971   0.0952   0.0982   0.0988   0.1001   0.1016   0.1002   0.0979
  6.17    1.465   0.1006   0.1004   0.0947   0.1012   0.1013   0.1025   0.1038   0.1004   0.1002
Tabulated from data in file 07257gw_interp.dat & reduced using program C10.20

File w1011-20_fp40_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:54
